rank,faculty_name,institution,priority_bucket,grad_advisor_fit,focus_tags,why_research_now,first_action_for_theo,suggested_outreach_window,openalex_profile_url
208,Timothy E. Essington,University of Washington,C - keep on longlist,Strong (university advisor pipeline),forecasting; species_distribution,"Recurring publication signal (3 matched works) in forecasting, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5056037781
212,Antoinette Abeyta,University of New Mexico,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (4 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5011980752
216,Jeff S. Wesner,University of South Dakota,C - keep on longlist,Strong (university advisor pipeline),bayesian_models; food_webs,"Recurring publication signal (3 matched works) in bayesian_models, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5048859154
226,Jeffrey W. Doser,North Carolina State University,C - keep on longlist,Strong (university advisor pipeline),joint_models; forecasting; species_distribution,"Recurring publication signal (3 matched works) in joint_models, forecasting, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5087734905
238,Elisa Marchetto,New York University,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5007308206
247,Dexter W. Howard,Virginia Tech,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5074980910
251,Rachel S. Corrigan,Colorado School of Mines,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5005322578
253,Temilola Fatoyinbo,Massachusetts Institute of Technology,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling; remote_sensing,"Recurring publication signal (3 matched works) in ecosystem_modeling, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5000005785
257,Josep M. Serra‐Diaz,University of Connecticut,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5063735907
259,Hayden Gallo,University of Notre Dame,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (4 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5058090839
270,William J. Castillo,"University of Nevada, Las Vegas",C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (4 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5108556931
277,Kevin M. King,University of Washington,C - keep on longlist,Strong (university advisor pipeline),bayesian_models,Recurring publication signal (3 matched works) in bayesian_models; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5078451901
281,Scott C. Doney,University of Virginia,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling; remote_sensing,"Recurring publication signal (3 matched works) in ecosystem_modeling, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5019762083
287,Anthony R. Ives,University of Wisconsin–Madison,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5089142551
291,Lindsay P. Campbell,University of Florida,C - keep on longlist,Strong (university advisor pipeline),forecasting; species_distribution,"Recurring publication signal (3 matched works) in forecasting, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5021726460
295,Anna K. Schweiger,Montana State University,C - keep on longlist,Strong (university advisor pipeline),remote_sensing; species_distribution,"Recurring publication signal (3 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5069111470
301,Margaret Heinichen,University of Rhode Island,C - keep on longlist,Strong (university advisor pipeline),food_webs,Recurring publication signal (4 matched works) in food_webs; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5030832558
322,Charles P. Hawkins,Utah State University,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5040401640
324,Jacob Nesslage,"University of California, Merced",C - keep on longlist,Strong (university advisor pipeline),remote_sensing,Recurring publication signal (4 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5017719816
326,Qianlai Zhuang,Purdue University West Lafayette,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling,Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5057772380
327,Jonas Dora,University of Washington,C - keep on longlist,Strong (university advisor pipeline),bayesian_models,Recurring publication signal (3 matched works) in bayesian_models; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5075412623
335,Hanqin Tian,Boston College,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling,Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5100771544
338,Xiao Yang,University of North Carolina at Chapel Hill,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5100744560
343,Glenda M. Yenni,University of Florida,C - keep on longlist,Strong (university advisor pipeline),forecasting,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5087965283
344,L. Ruby Leung,Boston University,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling,Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5087402778
345,Albert J. Hermann,University of Washington,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling; food_webs,"Recurring publication signal (3 matched works) in ecosystem_modeling, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5022308549
346,Matthew E. Aiello‐Lammens,Pace University,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5050122395
351,Jorge Soberón,University of Kansas,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5077997924
361,Daijiang Li,University of Wisconsin–Madison,C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5057569385
368,N. Thompson Hobbs,Colorado State University,C - keep on longlist,Strong (university advisor pipeline),forecasting; food_webs; ecosystem_modeling,"Recurring publication signal (2 matched works) in forecasting, food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5031310086
371,David A. Moeller,University of Minnesota,C - keep on longlist,Strong (university advisor pipeline),species_distribution; joint_models,"Recurring publication signal (2 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5055351697
373,Morgan W. Tingley,"University of California, Los Angeles",C - keep on longlist,Strong (university advisor pipeline),species_distribution,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5027347443
378,Kim de Mutsert,University of Southern Mississippi,C - keep on longlist,Strong (university advisor pipeline),ecosystem_modeling; food_webs,"Recurring publication signal (3 matched works) in ecosystem_modeling, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + verify current PhD openings/funding + draft tailored email.,2026-08-01 to 2026-09-30,https://openalex.org/A5054639023
