opportunity_name,opportunity_type,priority_tier,status_as_of_2026_04_10,target_student_level,computational_theoretical_quantitative_flag,subfield_tags,date_start,date_end,deadline_or_next_action_date,location,delivery_mode,cost,free_or_online,recommended_action,why_it_looks_good,notes,source_url
USSEE 2026 Biennial Conference,conference; ecological economics; socio-ecological systems,2 - strong if aligned,Open registration,"students, ecological economists, sustainability researchers",Yes,ecological economics; socio-ecological systems; sustainability modeling; policy,2026-06-18,2026-06-21,Register if socio-ecological modeling is a fit,"Oberlin College, Oberlin, Ohio, USA",in person,Student regular registration after 2026-03-01 listed as USD 125 member or USD 150 non-member; full range USD 125-400.,Low-cost student rate; Degrowth Assembly listed as free for registered conference participants,"Use if his computational ecology angle includes human-environment systems, sustainability, or policy modeling.",Shows interdisciplinary quantitative ecology beyond a narrow biology department frame.,Lower priority if his interests are purely ecological theory or biodiversity informatics.,https://ussee.org/event/2026-biennial-conference/
Esri User Conference 2026,GIS/remote-sensing conference; technical training,2 - strong if aligned,Open registration,"students, GIS users, researchers, practitioners",Yes,GIS; spatial ecology; remote sensing; geospatial analysis; environmental mapping,2026-07-13,2026-07-17,2026-05-29: Young Professionals Network early/standard rate deadline; student rate listed without deadline,"San Diego Convention Center, San Diego, California, USA",in person plus digital access option,"Standard in-person USD 2,600; university student USD 150; digital access USD 99 or no cost for qualifying current Esri subscriptions/licenses; YPN USD 625 by 2026-05-29 then USD 1,275.",Digital access can be no cost for qualifying users; student in-person rate is low-cost,Use the student rate if he needs GIS/remote-sensing credibility; otherwise use digital access if available through school licensing.,Useful if he wants to show serious spatial-ecology and geospatial-analysis skills.,"More applied/industry than ecology theory, so pair it with a research question or portfolio map/model.",https://www.esri.com/en-us/about/events/uc/registration
SciPy 2026,scientific Python conference; tutorials; sprints; virtual option coming later,2 - strong if aligned,Open registration; financial-aid deadline passed; CFP closed,"students, researchers, scientific Python developers",Yes,scientific Python; numerical computing; machine learning; data-driven discovery; open source,2026-07-13,2026-07-19,Financial aid deadline 2026-04-06 passed; room block closes 2026-06-22; online tickets to be released later,"University of Minnesota / McNamara Alumni Center, Minneapolis, Minnesota, USA",in person; online tickets to be released later; sprints free in person,"Student early-bird: USD 520 tutorials+conference, USD 275 tutorials-only, USD 275 conference-only. Student regular: USD 570 tutorials+conference, USD 335 tutorials-only, USD 335 conference-only. Sprints are free and open to everyone; 3.9% processing fee added at checkout.",Free sprints; online tickets planned; financial aid exists but 2026 deadline passed,"Consider if he already codes in Python; if attending, join sprints and produce a visible open-source contribution.","Good computational signal for Python-heavy ecology, especially if he can point to a GitHub contribution or scientific-computing workflow.",Not ecology-specific; the value comes from applying the skills to an ecology project.,https://ti.to/scipy/scipy2026
posit::conf(2026),R/Python data-science conference; workshops; virtual option,2 - strong if aligned,Open registration; super early bird ends today,"students, educators, analysts, data scientists, researchers",Yes,R; Python; reproducible workflows; Shiny; Quarto; data science; AI,2026-09-14,2026-09-16,2026-04-10: super early bird ends; 2026-06-22: early bird ends,"Hilton Americas-Houston, Houston, Texas, USA; virtual passes available",hybrid: in person and virtual,"Academic students/educators: USD 1,298 all access, USD 749 conference-only, USD 549 workshops-only. Virtual students/educators: USD 98 all access, USD 49 conference-only, USD 49 workshops-only. Needs-based USD 0 conference-only option listed.",Virtual student option; needs-based USD 0 conference-only option listed,Use the USD 49 virtual student conference or USD 0 needs-based option if he wants inexpensive R/Python professional development.,"Good for demonstrating modern reproducible R/Python workflows, but weaker than ecology-specific opportunities unless he builds a project from it.",Prioritize the virtual or needs-based route unless travel funding is easy.,https://conf.posit.co/2026/pricing
AGU26 Annual Meeting,major Earth/environmental science conference; presentation opportunity,2 - strong if aligned,Session/workshop proposal window open; abstract window opens later,"students, postdocs, faculty, Earth and environmental scientists",Yes,ecosystem science; climate; remote sensing; Earth systems; environmental data science,2026-12-07,2026-12-11,2026-04-22: session/town hall/scientific workshop proposals close; 2026-08-05: abstract submissions close,"Moscone Center, San Francisco, California, USA",in person with possible online components depending on registration type,Registration rates not posted on the source page checked for AGU26.,Not free by default,"Plan an abstract by 2026-08-05 if his work involves remote sensing, climate, hydrology, carbon, or ecosystem modeling.","Strong if he wants computational ecology connected to Earth systems, climate, or remote sensing labs.","Not as ecology-specific as ESA/EFI, but broad and high-profile.",https://www.agu.org/annual-meeting
BIOS2 Summer School: Biodiversity Modelling,graduate summer school; modeling,2 - strong if aligned,Recurring summer school; monitor current-year dates and guest participant scholarship details,"graduate students; also open to undergraduates, postdocs, and researchers",Yes,biodiversity modeling; ecological modeling; quantitative ecology; conservation data science,August annually,,Check BIOS2 site for current application deadline,"Quebec, Canada; location varies by offering",in person or hybrid depending on offering,BIOS2 fellows have open access; guest scholarships may cover part of costs.,Scholarships may be available; not free by default,Apply when the next call opens if he wants a modeling-focused summer credential.,"Directly names biodiversity modeling, which maps well to computational ecology graduate applications.",Use this as a more domain-specific alternative to generic data-science conferences.,https://bios2.usherbrooke.ca/program/program-components/summer-schools/
BIOS2 Summer School: Data-driven Ecological Synthesis,graduate summer school; data synthesis,2 - strong if aligned,Recurring summer school; monitor current-year dates and guest participant scholarship details,"graduate students; also open to undergraduates, postdocs, and researchers",Yes,data-driven ecology; synthesis; biodiversity; reproducible analysis; ecological modeling,May annually,,Check BIOS2 site for current application deadline,"Quebec, Canada; location varies by offering",in person or hybrid depending on offering,BIOS2 fellows have open access; guest scholarships may cover part of costs.,Scholarships may be available; not free by default,Watch for the next guest-participant application and apply if he can frame his master's work as a data-synthesis project.,Purpose-built for data-driven ecological synthesis and graduate-level methods training.,Especially good if he wants Canadian/international computational ecology contacts.,https://bios2.usherbrooke.ca/program/program-components/summer-schools/
Ecological Forecasting Initiative Statistical Methods Seminar Series,online seminar series; quantitative methods,2 - strong if aligned,Recurring virtual series; 2026 sessions listed,graduate students and researchers interested in ecological forecasting,Yes,ecological forecasting; statistics; Bayesian methods; reproducible modeling,recurring,,Register for the next virtual seminar listed on the EFI page,Online,online seminar series,No fee found on the source page checked.,Online; appears free/no fee listed,Attend regularly and cite specific methods learned in statements or advisor conversations.,Signals sustained engagement with ecological forecasting rather than one-off interest.,Best paired with the EFI conference or a forecast-analysis portfolio project.,https://ecoforecast.org/workshops/statistical-methods-seminar-series/
IALE-North America 2026 Annual Meeting,landscape ecology conference; workshops; presentation opportunity,3 - useful skill/network,Registration open; early rate and travel-award deadlines passed,"students, landscape ecologists, spatial ecologists, remote-sensing researchers",Yes,landscape ecology; spatial ecology; remote sensing; GIS; spatial modeling,2026-04-19,2026-04-23,Register late only if the spatial-ecology fit is strong; otherwise monitor 2027,"Athens, Georgia, USA",in person,Student member late rate USD 382.50 staying at host hotels/local commuter or USD 475 not staying at host hotels; student non-member late rate USD 450 or USD 550 depending on lodging category.,Not free by default; travel-award deadlines passed for 2026,Use if he has spatial/landscape ecology interests and can attend on short notice; otherwise monitor for 2027 travel awards.,"Strong fit for spatial ecology, GIS, landscape modeling, and remote sensing PhD interests.",2026 is very close; likely a monitor-next-cycle item unless local/travel funding is easy.,https://www.ialena.org/registration.html
Society for Freshwater Science 2026 Annual Meeting,freshwater ecology conference; workshops; student networking,3 - useful skill/network,Upcoming; early registration closed but workshops listed,"students, early-career freshwater scientists, researchers",Yes,freshwater ecology; NEON aquatic data; R; bioassessment; watershed modeling,2026-05-17,2026-05-21,Register if freshwater/aquatic ecology is a fit; workshops occur 2026-05-17,"Spokane, Washington, USA",in person,Registration rates not fully captured; workshop page lists some add-ons including a free early-career/student workshop for registered attendees and a NEON aquatic data coding workshop.,Free add-on workshop for registered attendees; not free overall,"Consider if he works on streams, lakes, watersheds, or aquatic NEON data; target the NEON aquatic data coding workshop.",Domain-specific if his computational ecology has freshwater/aquatic data content.,The NEON R workshop is the most computationally relevant piece.,https://www.sfsannualmeeting.org/workshops
International System Dynamics Conference 2026,hybrid modeling conference; presentation opportunity,3 - useful skill/network,Open registration; hybrid event,"students, recent graduates, researchers, practitioners",Yes,system dynamics; simulation; policy modeling; coupled systems; uncertainty,2026-07-20,2026-07-24,Check conference registration and scholarship/volunteer options,"TU Delft, Delft, Netherlands, plus online",hybrid: in person and online,Official event page lists price range USD 120-855; scholarships and volunteer registration-refund option mentioned.,Online option; scholarships/volunteering may reduce cost,Use only if his project genuinely uses system dynamics or feedback simulation; otherwise prioritize ecology-specific meetings.,"International modeling network and possible virtual participation, useful for socio-ecological dynamics.",Adjacent rather than core ecology.,https://systemdynamics.org/event/2026-international-system-dynamics-conference/
Data Carpentry Semester Biology Materials,free self-paced training; reproducible data skills,3 - useful skill/network,Available online,students and researchers building data-analysis foundations,Yes,data cleaning; R; reproducible analysis; biological datasets; versioned workflows,self-paced,,Start any time,Online,self-paced online materials,Free online materials.,Free and online,Complete selected modules and turn them into a clean ecology-analysis GitHub repository rather than just listing a course.,Helps close practical data-skill gaps before PhD applications.,"This is a skill-builder, not a prestige item; the portfolio output matters.",https://datacarpentry.github.io/semester-biology/materials/
NCEAS Learning Hub Training and Data Science Resources,training hub; synthesis and reproducible environmental data science,3 - useful skill/network,Monitor for current workshops and use resources,"graduate students, researchers, environmental data scientists",Yes,environmental data science; synthesis; R; reproducible workflows; open science,varies,,Monitor NCEAS Learning Hub for current offerings,"Online and Santa Barbara, California, USA depending on event",online resources and periodic workshops,Varies by offering; confirm on current event page.,Some resources online; event cost varies,Monitor for short courses and use their materials to strengthen reproducible analysis skills.,NCEAS is well-known for ecological synthesis and open-science training.,Included as a watch-list item because offerings change frequently.,https://learning.nceas.ucsb.edu/
NEON Learning Hub Tutorials,free self-paced training; open ecological data,3 - useful skill/network,Available online,"students, educators, researchers using NEON open data",Yes,NEON; open ecological data; R; Python; remote sensing; biodiversity observations,self-paced,,Start any time,Online,self-paced online tutorials,Free online tutorials.,Free and online,Build one polished notebook using NEON data and cite it in his CV/personal statement as an open-data project.,NEON data is highly recognizable in U.S. ecology and gives him a defensible portfolio project.,"Best if paired with a question-driven mini-analysis, not just tutorial completion.",https://www.neonscience.org/resources/learning-hub/tutorials
Princeton EEB Theory Tea,seminar series; theoretical ecology community,3 - useful skill/network,Recurring seminar/community listing,"graduate students, postdocs, researchers interested in theory",Yes,theoretical ecology; mathematical ecology; models; discussion group,recurring,,"Check seminar schedule and online/public access, if any","Princeton, New Jersey, USA",seminar; likely in person unless listed otherwise,No fee found in local/source listing.,May be free; online access not confirmed,Use mainly as a model for identifying theory-heavy labs and papers; attend if accessible or local.,Useful for learning the theoretical ecology literature and potential advisor landscape.,Not a resume-builder unless he participates or connects it to research reading.,https://eeb.princeton.edu/people/group/theoretical-ecology-tea
ESIIL Innovation Summit 2026: AI for Sustainability,selective summit; AI and environmental data synthesis,4 - watch next cycle,2026 application deadline passed; watch next ESIIL cycle and pre-summit trainings,"researchers, students, practitioners, interdisciplinary teams",Yes,AI for sustainability; environmental data science; synthesis; cyberinfrastructure; open science,2026-05-12,2026-05-14,2026-01-31 application deadline passed for 2026,"University of Colorado Boulder, Boulder, Colorado, USA",in person plus pre-summit virtual training opportunities,"No registration fee for accepted participants; travel awards up to USD 1,200 available according to source.",Free for accepted participants; travel awards available; some associated trainings virtual,Monitor ESIIL training/events and apply next cycle if he can connect AI methods to ecological decision-making.,Strong AI/environmental-data signal and good regional opportunity if he is near Colorado.,"Even if the summit is closed, ESIIL training resources/events are worth monitoring.",https://cu-esiil.github.io/Innovation-Summit-2026/
Santa Fe Institute Complex Systems Summer School 2026,selective summer school; complex systems,4 - watch next cycle,2026 application deadline passed; watch 2027,"advanced undergraduates, graduate students, postdocs, and professionals depending on cohort rules",Yes,complex systems; nonlinear dynamics; network science; modeling; theory,2026-06-09,2026-07-01,2026-02-04 deadline passed for 2026; monitor 2027 cycle,"Santa Fe, New Mexico, USA",in person,"Source lists USD 4,500 academic rate for 2026.",Not free by default; check SFI for scholarships/fellowships,Watch 2027 and apply only if he can explain how complex-systems methods support his ecology questions.,"Prestigious quantitative training, especially for theory-heavy or dynamical-systems ecology applications.","Not ecology-specific, so the application framing matters.",https://www.santafe.edu/engage/learn/programs/complex-systems-summer-school
Ant Ecol Summer School 2026,international ecology summer school; niche field/computational fit,4 - watch next cycle,Upcoming 2026 offering listed in local source file; verify current application status on organizer page,students/early-career researchers interested in ant ecology; confirm eligibility,Potentially,ant ecology; invasion ecology; community ecology; modeling potential; field ecology,2026-08-24,2026-08-28,Check application/registration deadline on organizer page,"Arolla, Switzerland",in person,Not captured in current local listing; confirm on organizer page.,Unknown; international travel likely required,"Use only if his research touches insects, invasion ecology, community ecology, or species interactions.",Niche but international and student-focused; useful if the subfield fits his research story.,Not primarily computational; value depends on matching it to a modeling/data question.,https://wp.unil.ch/bertelsmeiergroup/antecol/
CV4Ecology Workshop,selective workshop; computer vision for ecology,4 - watch next cycle,2026 applications closed; watch the next cycle,students and researchers working at the ecology/computer-vision interface,Yes,computer vision; machine learning; wildlife monitoring; image data; ecological AI,2026-01-04,2026-01-24,Next-cycle deadline TBD; sign up for future announcements,"Front Royal, Virginia, USA; Smithsonian/National Zoo context plus travel to Washington, DC noted on source",in person,"2026 source listed USD 3,250 tuition for international students and attendee responsibility for travel to Washington, DC; some sponsorship may be possible.",Not free by default; sponsorship may be possible,"Watch the next call and prepare a small portfolio item using camera-trap, drone, or biodiversity image data.","Very strong computational-ecology signal if he wants machine learning, computer vision, or automated biodiversity monitoring.","2026 is closed, but this is worth tracking because the credential is distinctive.",https://cv4ecology.caltech.edu/call_for_applications.html
ACCESS Aarhus Comprehensive Computational Entomology Summer School,international computational summer school; watch-list item,4 - watch next cycle,2025 offering found in local source file; monitor for future cycles,students/early-career researchers interested in computational entomology; confirm eligibility,Yes,computational entomology; ecology; bioinformatics; modeling; insects,most recent local listing: 2025-09-28,most recent local listing: 2025-10-03,Monitor organizer page for future calls,"Aarhus, Denmark",in person when offered,Not captured in current local listing; confirm on future call.,Unknown; international travel likely required,"Track for future cycles if insect ecology, bioinformatics, or computational biodiversity are part of his application story.",The title directly signals computation plus organismal ecology if the subfield fits.,"Past event; included as a watch-list lead, not a current application target.",https://darsa.info/ACCESS-2025/
Advanced Field School in Computational Ecology,computational ecology field school; watch-list item,4 - watch next cycle,Past 2023 offering found in local source file; monitor organizer for recurrence,graduate students/early-career researchers; confirm eligibility if repeated,Yes,computational ecology; field ecology; modeling; data analysis,past local listing: 2023-05-19,past local listing: 2023-05-26,Monitor Sentinel North / Laval organizer pages for recurrence,"Val-Morin, Quebec, Canada",in person when offered,Not captured in current local listing; confirm if repeated.,Unknown,Track only as a recurrence lead; do not treat as a current opportunity unless a new call is posted.,The title is exactly aligned with computational ecology and would be high-value if repeated.,"Past event, so this is a lead for future searching rather than a live application.",https://sentinellenord.ulaval.ca/en/ecology2023
Big Data Analytics in Forestry,quantitative ecology/forestry workshop; watch-list item,4 - watch next cycle,Local listing found; current dates not captured,graduate students/researchers using forest/ecosystem data; confirm eligibility,Yes,forest ecology; big data; quantitative ecology; remote sensing; analytics,varies / current date not captured,,Check source for next offering,"Flagstaff, Arizona, USA in local listing",in person when offered,Not captured in current local listing; confirm on source page.,Unknown,"Use only if his work is forestry, ecosystem monitoring, or large environmental datasets.",Relevant applied computational ecology if forest systems are part of his research target.,Lower priority unless subfield match is strong.,http://quantitativeecology.org/big-data/
SEEDS Geographic Information Systems (GIS) Graduate Workshop,student-focused GIS workshop; watch-list item,4 - watch next cycle,Most recent local listing found was 2024; monitor ESA SEEDS for recurrence/eligibility,"graduate students, especially from groups targeted by SEEDS programming; confirm current eligibility",Yes,GIS; spatial ecology; geospatial analysis; conservation; ecology education,most recent local listing: 2024-05-20,most recent local listing: 2024-05-25,Monitor ESA SEEDS for next graduate GIS workshop call,"Most recent local listing: Tallahassee, Florida, USA",in person when offered,Not captured in current local listing; confirm on next call.,Unknown; student-focused,Monitor for the next graduate GIS workshop if he wants a spatial ecology credential.,Student-focused GIS training tied to ESA can be a good application signal if eligible.,Do not list as a current 2026 opportunity unless a new call is posted.,https://esa.org/seeds/meetings/gis-graduate-workshop/
SPEC School,selective graduate workshop; remote sensing; field plus virtual training,4 - watch next cycle,2026 cycle appears closed; watch the next application cycle,primarily graduate students and early postdocs,Yes,remote sensing; spectral ecology; imaging spectroscopy; field ecology; data analysis,"annual cycle; virtual meetings start around March, with an in-person field week",,Next-cycle deadline TBD; join notification list or monitor site,"Virtual meetings plus Mountain Lake Biological Station near Pembroke, Virginia, USA",hybrid: virtual meetings plus in-person field week,Program states it fully supports 15-20 U.S.-based participants per year; international participants need to fund travel into the U.S.,Funded for selected U.S.-based participants; partially online,"Join the notification list and prepare a one-page fit statement around spectral data, remote sensing, and ecological questions.","Selective, technical, ecology-specific training in remote-sensing data, which is highly relevant for computational ecology.",Good target for the next cycle if he wants a remote sensing or spatial ecology angle.,https://www.specschool.org/
CoSMic x MICROnet Educator Training Workshop,microbiome/data education workshop; niche fit,5 - niche/fit-dependent,Upcoming/posted NEON event; eligibility appears educator/instructor oriented,educators/instructors; possibly useful for graduate TAs if eligible,Yes,microbiome; ecological data; education; bioinformatics; open data,2026 event; exact dates not captured in output file,,Check NEON event page for eligibility and application details,"Denver, Colorado, USA",in person,NEON source notes program support for travel and accommodation for selected participants.,Travel/accommodation support noted for selected participants; not general-audience free,Only pursue if he is teaching/TAing microbiome or data-science content and meets eligibility rules.,Could help if his ecology story includes microbiome data and teaching leadership.,Not a general grad-school resume booster for most computational ecology applicants.,https://www.neonscience.org/get-involved/events/cosmic-x-micronet-educator-training-workshop
