rank,faculty_name,institution,country_code,priority_bucket,grad_advisor_fit,advisor_competitiveness,focus_tags,why_research_now,first_action_for_theo,suggested_outreach_window,openalex_profile_url
12,Niklaus E. Zimmermann,Centre National de la Recherche Scientifique,FR,A - strongest fit,Possible (manual verification needed),High,species_distribution; joint_models,"Recurring publication signal (11 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5031627703
13,Jane Elith,The University of Melbourne,AU,A - strongest fit,Strong (university advisor pipeline),Very high,species_distribution,Recurring publication signal (9 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5032805182
14,Whitney M. Woelmer,University of Waikato,NZ,B - high potential,Strong (university advisor pipeline),Moderate,forecasting,Recurring publication signal (13 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5050033942
15,Salvador Arenas‐Castro,University of Córdoba,ES,A - strongest fit,Strong (university advisor pipeline),Moderate,species_distribution; ecosystem_modeling; remote_sensing,"Recurring publication signal (11 matched works) in species_distribution, ecosystem_modeling, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5084211669
16,Neftalí Sillero,Lisbon School of Design,PT,A - strongest fit,Strong (university advisor pipeline),High,species_distribution,Recurring publication signal (10 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5045950940
17,Ethan P. White,University of Florida,US,A - strongest fit,Strong (university advisor pipeline),High,forecasting,Recurring publication signal (12 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5060079821
18,A. Townsend Peterson,American Museum of Natural History,US,A - strongest fit,Lower (not a typical PhD advisor home),High,species_distribution; forecasting,"Recurring publication signal (14 matched works) in species_distribution, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5026094744
19,Carl Boettiger,"University of California, Berkeley",US,A - strongest fit,Strong (university advisor pipeline),High,forecasting,Recurring publication signal (12 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5032226777
20,James T. Thorson,,,A - strongest fit,Possible (manual verification needed),High,species_distribution; forecasting; ecosystem_modeling; joint_models,"Recurring publication signal (11 matched works) in species_distribution, forecasting, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5024684992
21,Andrew K. Skidmore,GeoInformation (United Kingdom),GB,A - strongest fit,Possible (manual verification needed),High,remote_sensing; species_distribution,"Recurring publication signal (13 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5073807486
22,S. K. Morgan Ernest,University of Florida,US,B - high potential,Strong (university advisor pipeline),High,forecasting,Recurring publication signal (11 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5036440158
23,Vítězslav Moudrý,Czech University of Life Sciences Prague,CZ,A - strongest fit,Strong (university advisor pipeline),High,species_distribution; remote_sensing,"Recurring publication signal (9 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5050597521
24,Nerea Abrego,University of Jyväskylä,FI,B - high potential,Strong (university advisor pipeline),Moderate,joint_models; species_distribution,"Recurring publication signal (9 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5027232018
25,Loïc Pellissier,Board of the Swiss Federal Institutes of Technology,CH,B - high potential,Strong (university advisor pipeline),High,species_distribution; remote_sensing; ecosystem_modeling,"Recurring publication signal (8 matched works) in species_distribution, remote_sensing, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5064694326
26,Jamie M. Kass,Tohoku University,JP,B - high potential,Strong (university advisor pipeline),Moderate,species_distribution; forecasting,"Recurring publication signal (9 matched works) in species_distribution, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5063809529
27,Julia L. Blanchard,University of Tasmania,AU,B - high potential,Strong (university advisor pipeline),High,food_webs; ecosystem_modeling,"Recurring publication signal (11 matched works) in food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5047035656
28,Marco Malavasi,University of Sassari,IT,B - high potential,Strong (university advisor pipeline),Moderate,species_distribution; remote_sensing,"Recurring publication signal (9 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5031687277
29,Pasquale Bove,Institute of Geosciences and Earth Resources,IT,C - keep on longlist,Possible (manual verification needed),Selective but variable,ecological_networks,Recurring publication signal (20 matched works) in ecological_networks; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5013338425
30,Stephanie Brodie,Commonwealth Scientific and Industrial Research Organisation,AU,A - strongest fit,Possible (manual verification needed),High,species_distribution; forecasting; ecological_ml; ecosystem_modeling,"Recurring publication signal (9 matched works) in species_distribution, forecasting, ecological_ml; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5018777160
31,Adam M. Wilson,National Physical Laboratory,GB,A - strongest fit,Possible (manual verification needed),High,remote_sensing; forecasting; species_distribution,"Recurring publication signal (11 matched works) in remote_sensing, forecasting, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5034086801
32,Jeannine Cavender‐Bares,Harvard University,US,B - high potential,Strong (university advisor pipeline),High,remote_sensing; species_distribution,"Recurring publication signal (8 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5041317932
33,Gurutzeta Guillera‐Arroita,The University of Melbourne,AU,B - high potential,Strong (university advisor pipeline),Moderate,species_distribution; joint_models,"Recurring publication signal (7 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5069640986
34,Elizabeth A. Fulton,CSIRO Oceans and Atmosphere,AU,B - high potential,Possible (manual verification needed),High,ecosystem_modeling; food_webs,"Recurring publication signal (11 matched works) in ecosystem_modeling, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5030759745
35,J. S. McLachlan,University of Notre Dame,US,B - high potential,Strong (university advisor pipeline),Moderate,forecasting,Recurring publication signal (10 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5051640520
36,Mary E. Lofton,Institute for Forecasting of the Slovak Academy of Sciences,SK,A - strongest fit,Lower (not a typical PhD advisor home),Moderate,forecasting,Recurring publication signal (15 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5007200683
37,Heather L. Wander,Université du Québec à Montréal,CA,C - keep on longlist,Strong (university advisor pipeline),Selective but variable,forecasting,Recurring publication signal (9 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5075644883
38,Jeroen Steenbeek,Ecopath International Initiative,ES,B - high potential,Possible (manual verification needed),Moderate,ecosystem_modeling; food_webs; species_distribution,"Recurring publication signal (11 matched works) in ecosystem_modeling, food_webs, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5085930596
39,Jarno Vanhatalo,University of Helsinki,FI,B - high potential,Strong (university advisor pipeline),Moderate,joint_models; species_distribution,"Recurring publication signal (8 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5057385440
40,Lukáš Gábor,Czech University of Life Sciences Prague,CZ,B - high potential,Strong (university advisor pipeline),Selective but variable,species_distribution,Recurring publication signal (7 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5069224540
41,Alyssa Willson,University of Notre Dame,US,C - keep on longlist,Strong (university advisor pipeline),Selective but variable,forecasting,Recurring publication signal (9 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5038063284
42,Elliott L. Hazen,NOAA National Marine Fisheries Service,US,A - strongest fit,Lower (not a typical PhD advisor home),High,species_distribution; forecasting; ecosystem_modeling,"Recurring publication signal (10 matched works) in species_distribution, forecasting, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5013280852
43,Petra Šímová,Czech University of Life Sciences Prague,CZ,B - high potential,Strong (university advisor pipeline),Moderate,species_distribution; remote_sensing,"Recurring publication signal (7 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5009554304
44,Jonathan Lenoir,Centre National de la Recherche Scientifique,FR,B - high potential,Possible (manual verification needed),High,species_distribution; remote_sensing,"Recurring publication signal (8 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5076510138
45,Damaris Zurell,University of Potsdam,DE,B - high potential,Strong (university advisor pipeline),Moderate,species_distribution; joint_models,"Recurring publication signal (6 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5039434750
46,Michael E. Schaepman,University of Zurich,CH,C - keep on longlist,Strong (university advisor pipeline),Moderate,remote_sensing; species_distribution,"Recurring publication signal (7 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5017159201
47,Vojtěch Barták,Czech University of Life Sciences Prague,CZ,B - high potential,Strong (university advisor pipeline),Moderate,species_distribution,Recurring publication signal (7 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5029210558
48,Juniper L. Simonis,University of Florida,US,B - high potential,Strong (university advisor pipeline),Moderate,forecasting,Recurring publication signal (8 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5082344351
49,Maria J. Santos,University of Zurich,CH,C - keep on longlist,Strong (university advisor pipeline),Moderate,remote_sensing; species_distribution,"Recurring publication signal (7 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5030734772
50,Miska Luoto,University of Helsinki,FI,C - keep on longlist,Strong (university advisor pipeline),Moderate,species_distribution; remote_sensing; joint_models,"Recurring publication signal (6 matched works) in species_distribution, remote_sensing, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5080656961
51,Johanna J. Heymans,Flanders Marine Institute,BE,B - high potential,Possible (manual verification needed),Moderate,food_webs; ecosystem_modeling,"Recurring publication signal (10 matched works) in food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5043228502
52,Robert P. Anderson,"The Graduate Center, CUNY",US,B - high potential,Possible (manual verification needed),Moderate,species_distribution,Recurring publication signal (7 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5088966095
53,Abigail S. L. Lewis,Smithsonian Environmental Research Center,US,B - high potential,Possible (manual verification needed),Selective but variable,forecasting,Recurring publication signal (8 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5084204387
54,Janet Franklin,Amgen (United States),US,B - high potential,Possible (manual verification needed),Moderate,species_distribution,Recurring publication signal (6 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5064598560
55,Marlon E. Cobos,University of Kansas,US,C - keep on longlist,Strong (university advisor pipeline),Selective but variable,species_distribution,Recurring publication signal (6 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5007340872
56,Adam B. Smith,Missouri Botanical Garden,US,B - high potential,Possible (manual verification needed),Selective but variable,species_distribution; joint_models,"Recurring publication signal (7 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5012024993
57,William W. L. Cheung,,,B - high potential,Possible (manual verification needed),High,food_webs; ecosystem_modeling; species_distribution,"Recurring publication signal (8 matched works) in food_webs, ecosystem_modeling, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5102754549
58,Francis K. C. Hui,Australian National University,AU,C - keep on longlist,Strong (university advisor pipeline),Selective but variable,joint_models; species_distribution,"Recurring publication signal (6 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5000251612
59,Tadhg N. Moore,National Postdoctoral Association,US,B - high potential,Lower (not a typical PhD advisor home),Selective but variable,forecasting,Recurring publication signal (12 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5039625658
60,Jody A. Peters,Vanderbilt University Medical Center,US,B - high potential,Lower (not a typical PhD advisor home),Selective but variable,forecasting,Recurring publication signal (11 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5039431909
61,Philip A. Townsend,Louisiana State University,US,C - keep on longlist,Strong (university advisor pipeline),Moderate,remote_sensing,Recurring publication signal (6 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5014556096
62,John A. Gamon,University of Nebraska–Lincoln,US,C - keep on longlist,Strong (university advisor pipeline),Moderate,remote_sensing,Recurring publication signal (6 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5034480863
63,Owen L. Petchey,University of Zurich,CH,C - keep on longlist,Strong (university advisor pipeline),Moderate,forecasting; food_webs,"Recurring publication signal (6 matched works) in forecasting, food_webs; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5028533498
64,Mary E. Blair,Eskenazi Health Foundation,US,B - high potential,Possible (manual verification needed),Selective but variable,species_distribution; forecasting,"Recurring publication signal (7 matched works) in species_distribution, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5030444201
65,Monica Papeş,University of Tennessee at Knoxville,US,C - keep on longlist,Strong (university advisor pipeline),Selective but variable,species_distribution; bayesian_models,"Recurring publication signal (5 matched works) in species_distribution, bayesian_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5032164522
66,Octavio Rojas‐Soto,Instituto de Ecología,MX,C - keep on longlist,Possible (manual verification needed),Selective but variable,species_distribution,Recurring publication signal (7 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5017924168
67,Olivier Broennimann,University of Lausanne,CH,C - keep on longlist,Strong (university advisor pipeline),Moderate,species_distribution,Recurring publication signal (5 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5088784991
68,Joaquín Hortal,University of Lisbon,PT,C - keep on longlist,Strong (university advisor pipeline),Moderate,species_distribution; joint_models,"Recurring publication signal (5 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5054732842
69,Ulrich Brose,German Centre for Integrative Biodiversity Research,DE,C - keep on longlist,Possible (manual verification needed),Moderate,food_webs; ecological_networks,"Recurring publication signal (8 matched works) in food_webs, ecological_networks; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5008126815
70,Carsten F. Dormann,University of Freiburg,DE,C - keep on longlist,Strong (university advisor pipeline),Moderate,forecasting; species_distribution,"Recurring publication signal (5 matched works) in forecasting, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5075919156
71,Nathalie Niquil,Centre National de la Recherche Scientifique,FR,C - keep on longlist,Possible (manual verification needed),Selective but variable,food_webs; species_distribution,"Recurring publication signal (7 matched works) in food_webs, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5076061911
72,Paulo de Marco Júnior,Universidade Federal de Viçosa,BR,C - keep on longlist,Possible (manual verification needed),Selective but variable,species_distribution,Recurring publication signal (5 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5071908385
73,Steven J. Bograd,NOAA National Marine Fisheries Service,US,B - high potential,Lower (not a typical PhD advisor home),Moderate,species_distribution; forecasting; ecosystem_modeling,"Recurring publication signal (7 matched works) in species_distribution, forecasting, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5066146362
74,José J. Lahoz‐Monfort,Consejo Superior de Investigaciones Científicas,ES,C - keep on longlist,Possible (manual verification needed),Selective but variable,species_distribution,Recurring publication signal (5 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5070847668
75,Vinit Parida,Luleå University of Technology,SE,C - keep on longlist,Strong (university advisor pipeline),Moderate,ecosystem_modeling,Recurring publication signal (5 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5090362709
76,Michele Torresani,Free University of Bozen-Bolzano,IT,C - keep on longlist,Strong (university advisor pipeline),Selective but variable,remote_sensing; species_distribution,"Recurring publication signal (5 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5008299584
77,Roshanak Darvishzadeh,University of Twente,NL,C - keep on longlist,Strong (university advisor pipeline),Moderate,remote_sensing,Recurring publication signal (7 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5047127960
78,Guohe Huang,Kunming University of Science and Technology,CN,C - keep on longlist,Strong (university advisor pipeline),Moderate,ecological_networks,Recurring publication signal (6 matched works) in ecological_networks; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5014716343
79,Alan E. Gelfand,Duke University,US,C - keep on longlist,Strong (university advisor pipeline),Moderate,joint_models; hierarchical_models,"Recurring publication signal (5 matched works) in joint_models, hierarchical_models; worth reading recent papers for advisor-fit and funding alignment.",Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5042522667
80,Cory Merow,University of Connecticut,US,C - keep on longlist,Strong (university advisor pipeline),Moderate,species_distribution,Recurring publication signal (4 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Read 2 papers + draft 3-sentence fit note + log funding clues.,2026-08-01 to 2026-09-30,https://openalex.org/A5006070240
